learner_id,step,skill,item_id,difficulty,label,hidden_prob,bkt_pred,elo_pred
L001,18,word_problem,WX008,7.0,1,0.3847,0.4899,0.3113
L001,19,subtraction,SX005,5.0,0,0.4406,0.497,0.4265
L001,20,subtraction,SX006,6.0,1,0.4116,0.2167,0.3643
L001,21,number_sense,NX006,5.0,1,0.4031,0.5505,0.4336
L001,22,addition,AX006,5.0,1,0.7085,0.5505,0.4529
L001,23,subtraction,SX001,3.0,0,0.5896,0.608,0.5719
L002,0,word_problem,WX006,6.0,0,0.2187,0.35,0.4145
L002,1,addition,A001,3.0,1,0.3765,0.35,0.5503
L002,2,number_sense,N001,3.0,0,0.5234,0.35,0.5656
L002,3,number_sense,N002,7.0,0,0.4602,0.1755,0.3498
L002,4,counting,CX007,4.0,0,0.488,0.35,0.484
L002,5,number_sense,NX002,3.0,0,0.5809,0.1428,0.5176
L002,6,number_sense,NX008,6.0,1,0.4889,0.138,0.3531
L002,7,counting,CX006,4.0,1,0.5435,0.1755,0.4718
L002,8,word_problem,W002,8.0,0,0.2018,0.1755,0.3003
L002,9,word_problem,WX005,5.0,0,0.3014,0.1428,0.4297
L002,10,word_problem,WX009,7.0,0,0.2563,0.138,0.3218
L002,11,word_problem,W001,6.0,0,0.2813,0.1373,0.357
L002,12,word_problem,W002,8.0,1,0.2089,0.1372,0.261
L002,13,subtraction,SX005,5.0,1,0.4342,0.35,0.4172
L002,14,word_problem,WX006,6.0,0,0.339,0.4871,0.3882
L002,15,word_problem,WX006,6.0,0,0.3937,0.2134,0.3755
L002,16,word_problem,W002,8.0,0,0.2731,0.1489,0.2762
L002,17,word_problem,W001,6.0,0,0.4266,0.1388,0.3546
L002,18,word_problem,WX002,4.0,0,0.4424,0.1374,0.4391
L002,19,word_problem,WX002,4.0,0,0.5082,0.1372,0.4242
L002,20,word_problem,WX001,3.0,0,0.5144,0.1372,0.4595
L002,21,word_problem,WX003,4.0,0,0.5332,0.1372,0.3947
L002,22,word_problem,WX003,4.0,0,0.5029,0.1372,0.3818
L002,23,word_problem,WX007,6.0,0,0.462,0.1372,0.2814
L003,0,addition,A001,3.0,0,0.1291,0.35,0.5644
L003,1,word_problem,WX001,3.0,0,0.1311,0.35,0.5451
L003,2,number_sense,N002,7.0,0,0.1282,0.35,0.3318
L003,3,number_sense,NX005,4.0,0,0.2052,0.1755,0.4647
L003,4,number_sense,NX008,6.0,0,0.1832,0.1428,0.3524
L003,5,number_sense,NX005,4.0,0,0.2682,0.138,0.4367
L003,6,number_sense,NX004,4.0,1,0.3004,0.1373,0.4219
L003,7,addition,AX009,6.0,0,0.0552,0.1755,0.3457
L003,8,addition,A003,8.0,0,0.05,0.1428,0.2519
L003,9,addition,AX003,3.0,0,0.2294,0.138,0.471
L003,10,addition,A001,3.0,0,0.2018,0.1373,0.4549
L003,11,addition,A002,5.0,0,0.111,0.1372,0.3437
L003,12,addition,AX002,3.0,0,0.1957,0.1372,0.4277
L003,13,addition,A002,5.0,0,0.1954,0.1372,0.3201
L003,14,addition,A003,8.0,0,0.0651,0.1372,0.1975
L003,15,addition,AX002,3.0,0,0.264,0.1372,0.396
L003,16,addition,AX008,6.0,0,0.1624,0.1372,0.2533
L003,17,addition,AX006,5.0,0,0.189,0.1372,0.286
L003,18,addition,A003,8.0,0,0.0912,0.1372,0.1738
L003,19,addition,AX009,6.0,0,0.1943,0.1372,0.2351
L003,20,addition,AX007,5.0,0,0.2119,0.1372,0.2668
L003,21,addition,AX008,6.0,0,0.2208,0.1372,0.2229
L003,22,addition,AX005,4.0,0,0.2702,0.1372,0.2938
L003,23,addition,A001,3.0,0,0.3025,0.1372,0.3283
L004,0,subtraction,SX006,6.0,0,0.4237,0.35,0.4145
L004,1,counting,C002,2.0,0,0.3666,0.35,0.5995
L004,2,number_sense,NX007,5.0,0,0.05,0.35,0.4295
L004,3,word_problem,WX001,3.0,1,0.2816,0.35,0.5149
L004,4,addition,A001,3.0,1,0.6246,0.35,0.5316
L004,5,counting,CX002,2.0,1,0.3544,0.1755,0.597
L004,6,number_sense,NX007,5.0,0,0.1029,0.1755,0.4611
L004,7,number_sense,NX008,6.0,0,0.0671,0.1428,0.3963
L004,8,number_sense,NX002,3.0,0,0.1913,0.138,0.5321
L004,9,number_sense,NX001,2.0,1,0.2376,0.1373,0.5638
L004,10,subtraction,SX009,7.0,0,0.4162,0.1755,0.3339
L004,11,subtraction,SX004,5.0,0,0.4864,0.1428,0.4173
L004,12,subtraction,SX001,3.0,0,0.5236,0.138,0.5029
L004,13,subtraction,S002,6.0,1,0.4379,0.1373,0.3402
L004,14,number_sense,NX006,5.0,0,0.1399,0.4872,0.4086
L004,15,number_sense,NX006,5.0,0,0.1601,0.2134,0.395
L004,16,number_sense,NX002,3.0,0,0.23,0.1489,0.4806
L004,17,number_sense,NX005,4.0,0,0.2134,0.1388,0.4144
L004,18,number_sense,NX003,3.0,0,0.2602,0.1374,0.4498
L004,19,number_sense,NX009,6.0,0,0.2156,0.1372,0.2957
L004,20,number_sense,N001,3.0,0,0.2614,0.1372,0.4245
L004,21,number_sense,NX001,2.0,0,0.3436,0.1372,0.4597
L004,22,number_sense,N001,3.0,0,0.2808,0.1372,0.3949
L004,23,number_sense,NX010,7.0,0,0.205,0.1372,0.2164
L005,0,subtraction,S001,4.0,0,0.2106,0.35,0.5144
L005,1,number_sense,NX004,4.0,0,0.1589,0.35,0.4966
L005,2,addition,AX007,5.0,0,0.5848,0.35,0.4296
L005,3,addition,AX006,5.0,1,0.5944,0.1755,0.4151
L005,4,subtraction,SX009,7.0,0,0.0977,0.1755,0.3396
L005,5,subtraction,SX004,5.0,0,0.2072,0.1428,0.4233
L005,6,subtraction,SX009,7.0,0,0.1663,0.138,0.3164
L005,7,subtraction,SX002,4.0,0,0.2415,0.1373,0.4477
L005,8,subtraction,SX002,4.0,0,0.242,0.1372,0.4325
L005,9,subtraction,SX007,6.0,0,0.2076,0.1372,0.3242
L005,10,subtraction,SX005,5.0,1,0.2394,0.1372,0.3595
L005,11,number_sense,NX006,5.0,0,0.1629,0.1755,0.3801
L005,12,number_sense,NX010,7.0,0,0.053,0.1428,0.28
L005,13,number_sense,NX007,5.0,0,0.1725,0.138,0.3589
L005,14,number_sense,N002,7.0,0,0.1249,0.1373,0.2625
L005,15,number_sense,NX009,6.0,0,0.1292,0.1372,0.2957
L005,16,number_sense,NX001,2.0,1,0.2563,0.1372,0.4744
L005,17,counting,CX006,4.0,0,0.6944,0.35,0.3934
L005,18,counting,CX006,4.0,1,0.6887,0.1755,0.3805
L005,19,word_problem,WX002,4.0,0,0.1391,0.35,0.4009
L005,20,word_problem,WX005,5.0,0,0.0762,0.1755,0.3411
L005,21,word_problem,W001,6.0,0,0.103,0.1428,0.2876
L005,22,word_problem,W002,8.0,0,0.05,0.138,0.2059
L005,23,word_problem,WX010,8.0,0,0.05,0.1373,0.2013
L006,0,word_problem,WX008,7.0,0,0.3759,0.35,0.3666
L006,1,subtraction,SX007,6.0,0,0.5311,0.35,0.4023
L006,2,subtraction,SX006,6.0,1,0.5115,0.1755,0.389
L006,3,subtraction,SX005,5.0,1,0.5916,0.5505,0.4587
L006,4,addition,AX006,5.0,1,0.3326,0.35,0.4773
L006,5,word_problem,WX006,6.0,1,0.4017,0.1755,0.4452
L006,6,counting,CX003,2.0,0,0.3014,0.35,0.6598
L006,7,counting,C002,2.0,1,0.2956,0.1755,0.639
L006,8,number_sense,NX010,7.0,1,0.4712,0.35,0.4046
L006,9,counting,CX005,3.0,0,0.3421,0.5505,0.6229
L006,10,counting,CX005,3.0,0,0.3245,0.2368,0.6025
L006,11,counting,CX005,3.0,0,0.4019,0.1529,0.5824
L006,12,counting,CX010,6.0,0,0.2361,0.1394,0.4128
L006,13,counting,CX008,5.0,1,0.3099,0.1375,0.4482
L006,14,counting,CX004,3.0,1,0.4334,0.4876,0.5674
L006,15,word_problem,WX005,5.0,0,0.5336,0.5505,0.482
L006,16,word_problem,WX008,7.0,1,0.5024,0.2368,0.3679
L006,17,word_problem,WX003,4.0,1,0.6304,0.6328,0.5375
L006,18,number_sense,NX004,4.0,0,0.6775,0.7429,0.5534
L006,19,number_sense,NX010,7.0,1,0.5422,0.3535,0.3854
L006,20,addition,A003,8.0,0,0.3273,0.7429,0.3582
L006,21,addition,AX004,4.0,0,0.4462,0.3535,0.5432
L006,22,addition,A002,5.0,1,0.4253,0.1763,0.4742
L006,23,addition,AX005,4.0,1,0.4834,0.5517,0.5426
L007,0,subtraction,SX002,4.0,1,0.6496,0.35,0.5144
L007,1,word_problem,W001,6.0,0,0.2319,0.35,0.4309
L007,2,counting,CX009,5.0,1,0.2196,0.35,0.466
L007,3,number_sense,NX002,3.0,0,0.43,0.35,0.5843
L007,4,number_sense,NX001,2.0,1,0.4457,0.1755,0.6133
L007,5,word_problem,WX002,4.0,1,0.2692,0.1755,0.5279
L007,6,addition,AX003,3.0,0,0.3059,0.35,0.5935
L007,7,addition,AX009,6.0,0,0.255,0.1755,0.4236
L007,8,addition,A003,8.0,1,0.2147,0.1428,0.3166
L007,9,addition,A001,3.0,0,0.4468,0.497,0.5823
L007,10,addition,AX004,4.0,0,0.3792,0.2167,0.5126
L007,11,addition,A002,5.0,0,0.3699,0.1494,0.4447
L007,12,addition,AX001,2.0,0,0.4457,0.1389,0.5796
L007,13,addition,AX008,6.0,1,0.3555,0.1374,0.3624
L007,14,addition,AX007,5.0,1,0.4651,0.4874,0.4316
L007,15,number_sense,NX005,4.0,1,0.4507,0.5505,0.5011
L007,16,word_problem,WX009,7.0,0,0.2143,0.5505,0.3703
L007,17,word_problem,WX006,6.0,0,0.2404,0.2368,0.406
L007,18,word_problem,WX009,7.0,0,0.2783,0.1529,0.3457
L007,19,word_problem,WX001,3.0,0,0.3918,0.1394,0.53
L007,20,word_problem,WX009,7.0,0,0.2486,0.1375,0.3188
L007,21,word_problem,WX007,6.0,0,0.3339,0.1372,0.354
L007,22,word_problem,WX010,8.0,0,0.2594,0.1372,0.2585
L007,23,word_problem,WX002,4.0,1,0.4284,0.1372,0.4296
L008,0,counting,CX006,4.0,1,0.6521,0.35,0.5144
L008,1,number_sense,NX004,4.0,0,0.2651,0.35,0.5311
L008,2,word_problem,WX010,8.0,0,0.2128,0.35,0.3198
L008,3,word_problem,WX002,4.0,0,0.2992,0.1755,0.5018
L008,4,subtraction,SX006,6.0,0,0.4119,0.35,0.3858
L008,5,word_problem,WX009,7.0,0,0.2543,0.1428,0.3274
L008,6,word_problem,W001,6.0,1,0.2498,0.138,0.3627
L008,7,number_sense,NX010,7.0,0,0.1258,0.1755,0.3369
L008,8,number_sense,NX004,4.0,0,0.2592,0.1428,0.4702
L008,9,number_sense,NX005,4.0,0,0.311,0.138,0.4541
L008,10,number_sense,NX004,4.0,1,0.2975,0.1373,0.4386
L008,11,subtraction,SX002,4.0,0,0.4496,0.1755,0.4578
L008,12,subtraction,SX003,4.0,0,0.4508,0.1428,0.4421
L008,13,subtraction,SX009,7.0,1,0.361,0.138,0.2894
L008,14,addition,AX005,4.0,0,0.3559,0.35,0.4513
L008,15,addition,AX006,5.0,0,0.3566,0.1755,0.3871
L008,16,addition,AX001,2.0,1,0.4475,0.1428,0.5229
L008,17,number_sense,NX003,3.0,0,0.3374,0.4872,0.489
L008,18,number_sense,NX003,3.0,1,0.35,0.2134,0.4721
L008,19,subtraction,SX002,4.0,1,0.567,0.4885,0.4403
L008,20,word_problem,WX006,6.0,1,0.3106,0.4885,0.3622
L008,21,addition,AX002,3.0,1,0.4864,0.497,0.5317
L008,22,number_sense,NX001,2.0,1,0.5186,0.6038,0.597
L008,23,counting,CX006,4.0,1,0.6531,0.7429,0.5114
L009,0,addition,A002,5.0,1,0.5114,0.35,0.4641
L009,1,subtraction,SX007,6.0,0,0.1237,0.35,0.4326
L009,2,word_problem,WX005,5.0,1,0.5427,0.35,0.4676
L009,3,word_problem,WX005,5.0,0,0.5911,0.7429,0.486
L009,4,word_problem,WX010,8.0,0,0.4796,0.3535,0.3257
L009,5,subtraction,SX008,7.0,0,0.0679,0.1755,0.361
L009,6,subtraction,S003,9.0,0,0.05,0.1428,0.2642
L009,7,subtraction,S003,9.0,0,0.05,0.138,0.2572
L009,8,subtraction,SX007,6.0,1,0.1536,0.1373,0.3795
L009,9,word_problem,WX003,4.0,0,0.6782,0.1763,0.4993
L009,10,word_problem,WX006,6.0,1,0.5674,0.1429,0.3835
L009,11,counting,CX003,2.0,0,0.4831,0.35,0.6026
L009,12,counting,CX009,5.0,1,0.3894,0.1755,0.4325
L009,13,number_sense,N002,7.0,0,0.3398,0.35,0.3553
L009,14,number_sense,NX003,3.0,1,0.5123,0.1755,0.5401
L009,15,subtraction,S003,9.0,0,0.1344,0.4872,0.272
L009,16,subtraction,SX007,6.0,0,0.2597,0.2134,0.3971
L009,17,subtraction,SX005,5.0,0,0.2861,0.1489,0.4327
L009,18,subtraction,SX002,4.0,0,0.3161,0.1388,0.4677
L009,19,subtraction,S002,6.0,0,0.2639,0.1374,0.3551
L009,20,subtraction,SX009,7.0,0,0.2168,0.1372,0.3
L009,21,subtraction,S002,6.0,0,0.2544,0.1372,0.3346
L009,22,subtraction,SX007,6.0,1,0.293,0.1372,0.3244
L009,23,subtraction,SX008,7.0,0,0.3367,0.4871,0.3012
L010,0,word_problem,WX005,5.0,0,0.2377,0.35,0.4641
L010,1,counting,CX006,4.0,1,0.5407,0.35,0.4984
L010,2,counting,CX001,1.0,1,0.7042,0.7429,0.6609
L010,3,addition,AX008,6.0,0,0.372,0.35,0.4272
L010,4,word_problem,W001,6.0,0,0.1983,0.1755,0.4128
L010,5,word_problem,WX004,5.0,0,0.2162,0.1428,0.4482
L010,6,word_problem,WX007,6.0,1,0.2479,0.138,0.3843
L010,7,addition,AX006,5.0,1,0.3783,0.1755,0.4539
L010,8,number_sense,NX007,5.0,0,0.1541,0.35,0.4727
L010,9,number_sense,NX009,6.0,1,0.1355,0.1755,0.4071
L010,10,subtraction,SX002,4.0,0,0.3643,0.35,0.5272
L010,11,subtraction,SX005,5.0,0,0.3658,0.1755,0.4587
L010,12,subtraction,S001,4.0,0,0.4182,0.1428,0.4931
L010,13,subtraction,SX001,3.0,1,0.4421,0.138,0.5264
L010,14,subtraction,S001,4.0,1,0.4545,0.4885,0.4925
L010,15,word_problem,W002,8.0,1,0.2088,0.4885,0.3174
L010,16,number_sense,NX001,2.0,0,0.34,0.5505,0.6312
L010,17,number_sense,NX007,5.0,0,0.2615,0.2368,0.4615
L010,18,number_sense,NX006,5.0,1,0.2935,0.1529,0.4457
L010,19,number_sense,NX007,5.0,1,0.2867,0.5144,0.4647
L010,20,addition,AX007,5.0,0,0.442,0.5505,0.4831
L010,21,addition,A002,5.0,0,0.4335,0.2368,0.4665
L010,22,addition,AX004,4.0,0,0.4836,0.1529,0.5007
L010,23,addition,AX002,3.0,1,0.567,0.1394,0.5337
L011,0,word_problem,WX006,6.0,0,0.1018,0.35,0.4145
L011,1,word_problem,WX005,5.0,0,0.1556,0.1755,0.4499
L011,2,number_sense,NX010,7.0,0,0.3213,0.35,0.3393
L011,3,subtraction,S001,4.0,0,0.3742,0.35,0.4728
L011,4,subtraction,SX004,5.0,0,0.4029,0.1755,0.4072
L011,5,subtraction,SX008,7.0,0,0.3422,0.1428,0.3026
L011,6,subtraction,S001,4.0,0,0.3889,0.138,0.4324
L011,7,subtraction,SX003,4.0,0,0.4584,0.1373,0.4178
L011,8,subtraction,SX005,5.0,0,0.3718,0.1372,0.3564
L011,9,subtraction,S001,4.0,1,0.4666,0.1372,0.392
L011,10,word_problem,WX009,7.0,1,0.1368,0.1428,0.277
L011,11,number_sense,NX003,3.0,0,0.4792,0.1755,0.4866
L011,12,number_sense,NX009,6.0,1,0.3636,0.1428,0.3263
L011,13,counting,CX009,5.0,0,0.2679,0.35,0.394
L011,14,counting,CX004,3.0,0,0.3293,0.1755,0.4795
L011,15,counting,CX006,4.0,1,0.3239,0.1428,0.4134
L011,16,addition,A002,5.0,0,0.6381,0.35,0.3846
L011,17,addition,AX002,3.0,1,0.7791,0.1755,0.4699
L011,18,subtraction,SX004,5.0,0,0.5121,0.4871,0.3893
L011,19,subtraction,SX009,7.0,0,0.4436,0.2134,0.2876
L011,20,subtraction,SX009,7.0,1,0.4077,0.1489,0.2796
L011,21,counting,CX004,3.0,1,0.4128,0.497,0.4897
L011,22,number_sense,NX004,4.0,1,0.5216,0.497,0.4571
L011,23,word_problem,WX005,5.0,0,0.2344,0.497,0.4259
L012,0,word_problem,WX001,3.0,0,0.2531,0.35,0.5644
L012,1,subtraction,SX002,4.0,0,0.4802,0.35,0.4949
L012,2,subtraction,SX002,4.0,1,0.491,0.1755,0.4778
L012,3,subtraction,SX003,4.0,1,0.5758,0.5505,0.4958
L012,4,subtraction,SX009,7.0,0,0.4718,0.8648,0.3655
L012,5,word_problem,WX002,4.0,0,0.2894,0.1755,0.5006
L012,6,word_problem,W002,8.0,0,0.0985,0.1428,0.2947
L012,7,word_problem,WX008,7.0,0,0.1482,0.138,0.3292
L012,8,word_problem,W001,6.0,0,0.2477,0.1373,0.3645
L012,9,word_problem,WX003,4.0,0,0.2501,0.1372,0.4494
L012,10,word_problem,WX010,8.0,0,0.1974,0.1372,0.2552
L012,11,word_problem,WX010,8.0,0,0.1692,0.1372,0.2485
L012,12,word_problem,WX003,4.0,1,0.3416,0.1372,0.4171
L012,13,counting,CX004,3.0,1,0.2095,0.35,0.4868
L012,14,number_sense,NX003,3.0,0,0.1916,0.35,0.5045
L012,15,number_sense,NX009,6.0,0,0.0968,0.1755,0.3416
L012,16,number_sense,N002,7.0,0,0.0897,0.1428,0.2881
L012,17,number_sense,NX003,3.0,1,0.2305,0.138,0.4654
L012,18,addition,AX003,3.0,1,0.6711,0.35,0.4838
L012,19,word_problem,WX003,4.0,0,0.3656,0.4871,0.4514
L012,20,word_problem,WX002,4.0,0,0.3601,0.2134,0.436
L012,21,word_problem,WX004,5.0,0,0.367,0.1489,0.3731
L012,22,word_problem,WX001,3.0,0,0.4251,0.1388,0.4582
L012,23,word_problem,WX006,6.0,1,0.3869,0.1374,0.3025
L013,0,number_sense,NX009,6.0,0,0.5255,0.35,0.4145
L013,1,word_problem,WX004,5.0,1,0.4797,0.35,0.4499
L013,2,addition,AX006,5.0,0,0.3109,0.35,0.4687
L013,3,addition,AX007,5.0,0,0.3415,0.1755,0.4527
L013,4,addition,A002,5.0,0,0.375,0.1428,0.4372
L013,5,addition,AX007,5.0,0,0.4017,0.138,0.4224
L013,6,addition,AX007,5.0,1,0.3587,0.1373,0.4082
L013,7,number_sense,NX006,5.0,1,0.5853,0.1755,0.4281
L013,8,counting,CX005,3.0,1,0.6216,0.35,0.548
L013,9,subtraction,S001,4.0,0,0.1245,0.35,0.5134
L013,10,subtraction,S002,6.0,0,0.059,0.1755,0.3964
L013,11,subtraction,SX004,5.0,0,0.1215,0.1428,0.432
L013,12,subtraction,SX009,7.0,0,0.0809,0.138,0.3238
L013,13,subtraction,SX007,6.0,0,0.1296,0.1373,0.359
L013,14,subtraction,SX004,5.0,0,0.1676,0.1372,0.3947
L013,15,subtraction,SX007,6.0,0,0.1228,0.1372,0.3354
L013,16,subtraction,S001,4.0,1,0.2254,0.1372,0.4189
L013,17,subtraction,SX005,5.0,0,0.2712,0.4871,0.3898
L013,18,subtraction,S002,6.0,0,0.2487,0.2134,0.331
L013,19,subtraction,SX008,7.0,0,0.1739,0.1489,0.2787
L013,20,subtraction,SX001,3.0,0,0.3726,0.1388,0.4543
L013,21,subtraction,SX005,5.0,1,0.2425,0.1374,0.3432
L013,22,addition,AX008,6.0,1,0.4138,0.4872,0.3187
L013,23,subtraction,SX003,4.0,1,0.3497,0.4874,0.4347
L014,0,number_sense,NX004,4.0,0,0.1581,0.35,0.5144
L014,1,word_problem,W001,6.0,0,0.1368,0.35,0.3974
L014,2,number_sense,NX007,5.0,0,0.0912,0.1755,0.4329
L014,3,counting,CX001,1.0,0,0.4999,0.35,0.6169
L014,4,number_sense,NX008,6.0,0,0.0721,0.1428,0.3506
L014,5,number_sense,N001,3.0,0,0.1713,0.138,0.4849
L014,6,number_sense,N002,7.0,0,0.0908,0.1373,0.2823
L014,7,number_sense,NX004,4.0,1,0.1872,0.1372,0.4091
L014,8,counting,CX007,4.0,0,0.4215,0.1755,0.4289
L014,9,counting,CX010,6.0,0,0.4064,0.1428,0.3212
L014,10,counting,CX007,4.0,0,0.4479,0.138,0.4038
L014,11,counting,C001,1.0,1,0.5436,0.1373,0.5396
L014,12,word_problem,WX005,5.0,1,0.1937,0.1755,0.3581
L014,13,addition,AX009,6.0,1,0.5169,0.35,0.3326
L014,14,subtraction,S002,6.0,0,0.1351,0.35,0.3534
L014,15,subtraction,S003,9.0,0,0.05,0.1755,0.2214
L014,16,subtraction,SX006,6.0,0,0.1863,0.1428,0.3355
L014,17,subtraction,SX007,6.0,0,0.1817,0.138,0.3252
L014,18,subtraction,SX007,6.0,0,0.1837,0.1373,0.3154
L014,19,subtraction,S002,6.0,0,0.2275,0.1372,0.3061
L014,20,subtraction,SX006,6.0,1,0.227,0.1372,0.2972
L014,21,number_sense,NX006,5.0,0,0.2422,0.4871,0.3631
L014,22,number_sense,NX006,5.0,0,0.2131,0.2134,0.3515
L014,23,number_sense,NX004,4.0,0,0.2603,0.1489,0.3871
L015,0,counting,CX005,3.0,0,0.3223,0.35,0.5644
L015,1,number_sense,NX007,5.0,0,0.1164,0.35,0.4448
L015,2,word_problem,WX004,5.0,1,0.5727,0.35,0.4296
L015,3,subtraction,SX009,7.0,0,0.05,0.35,0.3526
L015,4,addition,AX003,3.0,1,0.6521,0.35,0.5374
L015,5,counting,CX001,1.0,1,0.4471,0.1755,0.6494
L015,6,number_sense,N002,7.0,0,0.0796,0.1755,0.3673
L015,7,number_sense,N002,7.0,0,0.1226,0.1428,0.3556
L015,8,number_sense,NX005,4.0,0,0.2442,0.138,0.4902
L015,9,number_sense,NX008,6.0,0,0.1657,0.1373,0.3752
L015,10,number_sense,N001,3.0,0,0.2803,0.1372,0.5107
L015,11,number_sense,NX010,7.0,0,0.123,0.1372,0.3028
L015,12,number_sense,NX010,7.0,0,0.1726,0.1372,0.2941
L015,13,number_sense,NX004,4.0,0,0.2271,0.1372,0.4227
L015,14,number_sense,NX008,6.0,1,0.2192,0.1372,0.3158
L015,15,subtraction,SX009,7.0,1,0.0509,0.1755,0.2931
L015,16,number_sense,NX010,7.0,0,0.234,0.4871,0.3138
L015,17,number_sense,NX006,5.0,0,0.2989,0.2134,0.3958
L015,18,number_sense,NX010,7.0,0,0.2375,0.1489,0.2931
L015,19,number_sense,NX008,6.0,1,0.2634,0.1388,0.3275
L015,20,number_sense,NX001,2.0,1,0.5169,0.4899,0.5447
L015,21,counting,C002,2.0,0,0.4413,0.5505,0.5602
L015,22,counting,CX006,4.0,0,0.4081,0.2368,0.4407
L015,23,counting,CX002,2.0,1,0.5,0.1529,0.5259
L016,0,counting,CX002,2.0,0,0.4146,0.35,0.6131
L016,1,counting,CX002,2.0,1,0.4171,0.1755,0.5929
L016,2,number_sense,NX003,3.0,1,0.2831,0.35,0.5574
L016,3,subtraction,SX009,7.0,1,0.2764,0.35,0.3742
L016,4,word_problem,WX010,8.0,0,0.3337,0.35,0.3477
L016,5,word_problem,WX009,7.0,1,0.4248,0.1755,0.3833
L016,6,addition,AX009,6.0,1,0.3955,0.35,0.4529
L016,7,counting,C002,2.0,0,0.5219,0.5505,0.6665
L016,8,counting,CX008,5.0,0,0.3903,0.2368,0.499
L016,9,counting,CX003,2.0,1,0.4822,0.1529,0.6298
L016,10,counting,CX004,3.0,0,0.5117,0.5144,0.5941
L016,11,counting,CX006,4.0,0,0.5395,0.2229,0.5244
L016,12,counting,C002,2.0,1,0.5879,0.1505,0.6054
L016,13,counting,CX005,3.0,1,0.6251,0.5104,0.5698
L016,14,word_problem,WX005,5.0,0,0.5599,0.5505,0.4844
L016,15,word_problem,WX002,4.0,1,0.5619,0.2368,0.518
L016,16,word_problem,WX007,6.0,1,0.5759,0.6328,0.4343
L016,17,number_sense,NX002,3.0,1,0.3924,0.7429,0.6031
L016,18,addition,AX009,6.0,0,0.5287,0.7429,0.4672
L016,19,addition,A003,8.0,1,0.411,0.3535,0.3546
L016,20,subtraction,SX001,3.0,1,0.4559,0.7429,0.6219
L016,21,addition,AX008,6.0,0,0.5281,0.7457,0.4864
L016,22,addition,AX008,6.0,0,0.5716,0.356,0.4696
L016,23,addition,AX007,5.0,0,0.613,0.1769,0.5037
L017,0,number_sense,NX006,5.0,0,0.4066,0.35,0.4641
L017,1,addition,AX002,3.0,1,0.512,0.35,0.5486
L017,2,counting,CX003,2.0,1,0.5006,0.35,0.6127
L017,3,addition,AX002,3.0,0,0.5309,0.7429,0.5771
